time_monotonic_ns,glide_phase,frame_id,control_valid,reason,abort_reason,dx_norm,dy_norm,vx_setpoint_m_s,vx_measured_m_s,vy_setpoint_m_s,vy_measured_m_s,altitude_m,distance_to_target_m,roll_deg,pitch_deg,yaw_deg,throttle_rc
1137554568982502,track,335275,True,,,0.0390625,-0.46458333333333335,1.052366230084222,-0.0,-1.072654595786558,1.05,5.59,11.851851851851851,-0.5,0.8,339.0,1639
1137554588967168,track,335276,True,,,0.0328125,-0.46875,1.0439659722632015,-0.0,-1.0820765959165486,1.05,5.59,11.851851851851851,-0.5,0.8,339.0,1639
1137554609044518,track,335276,True,,,0.0328125,-0.46875,1.0439659722632015,-0.0,-1.0820765959165486,1.05,5.59,11.851851851851851,-0.5,0.8,339.0,1639
1137554629028644,track,335277,True,,,0.0234375,-0.47291666666666665,1.035723129134408,-0.0,-1.0914832029963801,1.15,5.67,11.851851851851851,-0.5,0.8,339.0,1638
1137554648996648,track,335278,True,,,0.0109375,-0.4791666666666667,1.022584840469702,-0.0,-1.10556411899297,1.15,5.67,11.851851851851851,-0.5,0.8,339.0,1638
1137554668976365,track,335278,True,,,0.0109375,-0.4791666666666667,1.022584840469702,-0.0,-1.10556411899297,1.15,5.67,11.851851851851851,-0.5,0.8,339.0,1638
1137554688993268,track,335279,True,,,-0.0015625,-0.48125,1.0181509463328828,-0.0,-1.1102499961810148,1.15,5.67,11.851851851851851,-0.5,0.8,339.0,1638
1137554709045874,track,335279,True,,,-0.0015625,-0.48125,1.0181509463328828,-0.0,-1.1102499961810148,1.15,5.67,11.851851851851851,-0.5,0.8,339.0,1638
1137554729010552,track,335280,True,,,-0.0171875,-0.48541666666666666,1.0081985891945788,-0.0,-1.1196100650842324,1.19,5.72,11.851851851851851,-0.5,0.8,339.0,1637
1137554748997205,track,335281,True,,,-0.0328125,-0.48541666666666666,1.0065920575950205,-0.0,-1.1196100650842324,1.19,5.72,11.851851851851851,-0.5,0.8,339.0,1637
1137554768949434,track,335281,True,,,-0.0328125,-0.48541666666666666,1.0065920575950205,-0.0,-1.1196100650842324,1.19,5.72,11.851851851851851,-0.5,0.8,339.0,1637
