time_monotonic_ns,glide_phase,frame_id,control_valid,reason,abort_reason,dx_norm,dy_norm,vx_setpoint_m_s,vx_measured_m_s,vy_setpoint_m_s,vy_measured_m_s,altitude_m,distance_to_target_m,roll_deg,pitch_deg,yaw_deg,yaw_rate_setpoint_dps,yaw_rc,throttle_rc
1141394313561632,track,450892,True,,,-0.190625,-0.6729166666666667,1.3799780749401749,1.2065797659205153,-2.564249654156343,-0.82,4.54,5.714285714285714,0.2,1.7,339.0,-2.0475,1485,1640
1141394333581101,track,450893,True,,,-0.196875,-0.69375,1.2686326997325021,1.882824557485145,-2.6297296862580724,-0.82,4.54,5.614035087719298,0.2,1.7,339.0,-2.1225,1484,1640
1141394353625509,track,450893,True,,,-0.196875,-0.69375,1.2686326997325021,1.882824557485145,-2.6297296862580724,-0.82,4.54,5.614035087719298,0.2,1.7,339.0,-2.1225,1484,1640
1141394373600365,track,450894,True,,,-0.2015625,-0.7104166666666667,1.1808370974957811,2.242507114626986,-2.6813599894044904,-0.82,4.54,5.614035087719298,0.2,1.7,339.0,-2.17875,1484,1640
1141394393607874,track,450895,True,,,-0.203125,-0.7208333333333333,1.1281080534071737,2.4763007767691825,-2.7132893192038163,-0.82,4.54,5.423728813559322,0.2,1.7,339.0,-2.1975000000000002,1484,1640
1141394413588688,track,450895,True,,,-0.203125,-0.7208333333333333,1.1281080534071737,2.4763007767691825,-2.7132893192038163,-1.01,4.45,5.423728813559322,0.2,1.7,339.0,-2.1975000000000002,1484,1640
1141394433574182,track,450896,True,,,-0.2046875,-0.7229166666666667,1.1160092322880992,1.6095955048999686,-2.7196438833346965,-1.01,4.45,5.423728813559322,0.2,1.7,339.0,-2.21625,1483,1640
1141394453568587,track,450896,True,,,-0.2046875,-0.7229166666666667,1.1160092322880992,1.6095955048999686,-2.7196438833346965,-1.01,4.45,5.423728813559322,0.2,1.7,339.0,-2.21625,1483,1640
1141394473576551,track,450897,True,,,-0.2046875,-0.71875,1.136236323440013,2.023255498162618,-2.7069243261546014,-1.01,4.45,5.333333333333333,0.2,1.7,339.0,-2.21625,1483,1640
1141394493558939,track,450898,True,,,-0.2,-0.7125,1.172655712541999,2.254432300445661,-2.6877667354588604,-1.22,4.36,5.245901639344262,0.2,1.7,339.0,-2.16,1484,1642
1141394513527698,track,450898,True,,,-0.2,-0.7125,1.172655712541999,2.254432300445661,-2.6877667354588604,-1.22,4.36,5.245901639344262,0.2,1.7,339.0,-2.16,1484,1642
1141394533556848,track,450899,True,,,-0.1953125,-0.70625,1.2091510227395486,2.4046972219296388,-2.6685151535093463,-1.22,4.36,5.245901639344262,0.2,1.7,339.0,-2.1037500000000002,1484,1642
1141394553551626,track,450899,True,,,-0.1953125,-0.70625,1.2091510227395486,2.4046972219296388,-2.6685151535093463,-1.22,4.36,5.245901639344262,0.2,1.7,339.0,-2.1037500000000002,1484,1642
1141394573575305,track,450900,True,,,-0.190625,-0.7,1.245719611787057,1.5630531942542651,-2.649169494949602,-1.22,4.36,5.245901639344262,0.2,1.7,339.0,-2.0475,1485,1642
1141394593664043,track,450901,True,,,-0.1828125,-0.6979166666666666,1.2655073943587052,1.0159845762652724,-2.642700023130258,-1.22,4.36,5.161290322580645,0.2,1.7,339.0,-1.9537499999999999,1485,1642
1141394613577620,track,450901,True,,,-0.1828125,-0.6979166666666666,1.2655073943587052,1.0159845762652724,-2.642700023130258,-1.37,4.29,5.161290322580645,0.2,1.7,339.0,-1.9537499999999999,1485,1645
1141394633593270,track,450902,True,,,-0.1765625,-0.7,1.2625207164934538,0.6603899745724271,-2.649169494949602,-1.37,4.29,5.161290322580645,0.3,0.5,339.0,-1.8787500000000001,1486,1645
1141394653719736,track,450902,True,,,-0.1765625,-0.7,1.2625207164934538,0.6603899745724271,-2.649169494949602,-1.37,4.29,5.161290322580645,0.3,0.5,339.0,-1.8787500000000001,1486,1645
1141394673591783,track,450903,True,,,-0.16875,-0.7041666666666667,1.2506396809377123,1.2726283135638177,-2.66207705748918,-1.37,4.29,5.079365079365079,0.3,0.5,339.0,-1.7850000000000001,1487,1645
1141394693570610,track,450904,True,,,-0.1625,-0.7125,1.2160140097915222,1.6636538962285772,-2.687766735458861,-1.47,4.21,5.0,0.3,0.5,339.0,-1.7100000000000002,1487,1645
1141394713538342,track,450904,True,,,-0.1625,-0.7125,1.2160140097915222,1.6636538962285772,-2.687766735458861,-1.47,4.21,5.0,0.3,0.5,339.0,-1.7100000000000002,1487,1645
1141394733566010,track,450905,True,,,-0.1546875,-0.7208333333333333,1.182676187639395,1.9178205249606708,-2.7132893192038163,-1.47,4.21,5.0,0.3,0.5,339.0,-1.6162500000000002,1488,1645
1141394753601231,track,450905,True,,,-0.1546875,-0.7208333333333333,1.182676187639395,1.9178205249606708,-2.7132893192038163,-1.47,4.21,5.0,0.3,0.5,339.0,-1.6162500000000002,1488,1645
1141394773554863,track,450906,True,,,-0.1484375,-0.7291666666666666,1.1474795842138357,1.246583341224436,-2.738645043046887,-1.47,4.21,5.0,0.3,0.5,339.0,-1.5412500000000002,1488,1645
1141394793563801,track,450907,True,,,-0.140625,-0.73125,1.1442677435484208,0.8102791717958835,-2.744957933023466,-1.47,4.21,4.848484848484849,0.3,0.5,339.0,-1.4475,1489,1645
1141394813569737,track,450907,True,,,-0.140625,-0.73125,1.1442677435484208,0.8102791717958835,-2.744957933023466,-1.62,4.09,4.848484848484849,0.3,0.5,339.0,-1.4475,1489,1647
1141394833557788,track,450908,True,,,-0.13125,-0.7333333333333333,1.1419417392836981,0.5266814616673243,-2.7512604155274465,-1.62,4.09,4.848484848484849,0.3,0.5,339.0,-1.335,1490,1647
1141394853658854,track,450908,True,,,-0.13125,-0.7333333333333333,1.1419417392836981,0.5266814616673243,-2.7512604155274465,-1.62,4.09,4.848484848484849,0.3,0.5,339.0,-1.335,1490,1647
1141394873604839,track,450909,True,,,-0.1234375,-0.7291666666666666,1.1688591799070058,1.1025110160234788,-2.738645043046887,-1.62,4.09,4.776119402985074,0.3,0.5,339.0,-1.24125,1491,1647
1141394893590862,track,450910,True,,,-0.115625,-0.71875,1.226774400635075,1.4373204966311584,-2.706924326154601,-1.62,4.09,4.705882352941177,0.3,0.5,339.0,-1.1475,1491,1647
1141394913518485,track,450910,True,,,-0.115625,-0.71875,1.226774400635075,1.4373204966311584,-2.706924326154601,-1.62,4.09,4.705882352941177,0.3,0.5,339.0,-1.1475,1491,1647
1141394933545866,track,450911,True,,,-0.1078125,-0.70625,1.2952989205686667,1.6549466590261501,-2.668515153509346,-1.62,4.09,4.705882352941177,0.3,0.5,339.0,-1.05375,1492,1647
1141394953584002,track,450912,True,,,-0.1015625,-0.6895833333333333,1.3842216250683266,1.7964036645828947,-2.616717477314581,-1.75,3.99,4.63768115942029,0.3,0.5,339.0,-0.97875,1493,1650
1141394973555108,track,450912,True,,,-0.1015625,-0.6895833333333333,1.3842216250683266,1.7964036645828947,-2.616717477314581,-1.75,3.99,4.63768115942029,0.3,0.5,339.0,-0.97875,1493,1650
1141394993556814,track,450913,True,,,-0.0953125,-0.6729166666666667,1.4738245745518013,1.1676623819788816,-2.564249654156343,-1.75,3.99,4.63768115942029,0.3,0.5,339.0,-0.9037499999999998,1493,1650
1141395013621166,track,450913,True,,,-0.0953125,-0.6729166666666667,1.4738245745518013,1.1676623819788816,-2.564249654156343,-1.75,3.99,4.63768115942029,0.3,0.5,339.0,-0.9037499999999998,1493,1650
1141395033561884,track,450914,True,,,-0.090625,-0.6583333333333333,1.5522588274034541,0.758980548286273,-2.517790113597084,-1.75,3.99,4.63768115942029,0.3,0.5,339.0,-0.8474999999999999,1494,1650
1141395053584653,track,450915,True,,,-0.0859375,-0.64375,1.6312057152536739,0.4933373563860775,-2.4708170743576097,-1.75,3.99,4.63768115942029,0.3,0.5,339.0,-0.79125,1494,1650
1141395073537380,track,450915,True,,,-0.0859375,-0.64375,1.6312057152536739,0.4933373563860775,-2.4708170743576097,-1.75,3.99,4.63768115942029,0.3,0.5,339.0,-0.79125,1494,1650
1141395093581572,track,450916,True,,,-0.0828125,-0.63125,1.69871412640332,0.3206692816509504,-2.4301460825780246,-1.85,3.87,4.571428571428571,0.3,0.5,339.0,-0.7537499999999999,1494,1653
1141395113555414,track,450916,True,,,-0.0828125,-0.63125,1.69871412640332,0.3206692816509504,-2.4301460825780246,-1.85,3.87,4.571428571428571,0.3,0.5,339.0,-0.7537499999999999,1494,1653
1141395133545404,track,450917,True,,,-0.0828125,-0.6270833333333333,1.7206483432858641,0.8837345826832673,-2.4165054003050073,-1.85,3.87,4.507042253521127,0.3,0.5,339.0,-0.7537499999999999,1494,1653
1141395153600851,track,450918,True,,,-0.08125,-0.6270833333333333,1.7216238700010582,1.2497270283542734,-2.4165054003050073,-1.85,3.87,4.507042253521127,0.3,0.5,339.0,-0.735,1495,1653
1141395173506407,track,450918,True,,,-0.08125,-0.6270833333333333,1.7216238700010582,1.2497270283542734,-2.4165054003050073,-1.85,3.87,4.507042253521127,0.3,0.5,339.0,-0.735,1495,1653
1141395193571405,track,450919,True,,,-0.0828125,-0.63125,1.69871412640332,0.8123225684302777,-2.430146082578024,-1.85,3.87,4.507042253521127,-0.3,1.9,334.0,-0.7537499999999999,1494,1653
1141395213513555,track,450919,True,,,-0.0828125,-0.63125,1.69871412640332,0.8123225684302777,-2.430146082578024,-1.99,3.74,4.507042253521127,-0.3,1.9,334.0,-0.7537499999999999,1494,1655
1141395233598022,track,450920,True,,,-0.084375,-0.6416666666666667,1.6430855229951389,0.5280096694796805,-2.464064741971063,-1.99,3.74,4.383561643835616,-0.3,1.9,334.0,-0.7725,1494,1655
1141395253608410,track,450921,True,,,-0.0875,-0.6479166666666667,1.6084553894945943,0.34320628516179236,-2.4842903230333837,-1.99,3.74,4.383561643835616,-0.3,1.9,334.0,-0.8099999999999998,1494,1655
1141395273553162,track,450921,True,,,-0.0875,-0.6479166666666667,1.6084553894945943,0.34320628516179236,-2.4842903230333837,-1.99,3.74,4.383561643835616,-0.3,1.9,334.0,-0.8099999999999998,1494,1655
1141395293544699,track,450922,True,,,-0.0921875,-0.65625,1.5620416567822446,0.8723930710013381,-2.5111111124619074,-1.99,3.74,4.324324324324325,-0.3,1.9,334.0,-0.86625,1494,1655
1141395313593383,track,450922,True,,,-0.0921875,-0.65625,1.5620416567822446,0.8723930710013381,-2.5111111124619074,-1.99,3.74,4.324324324324325,-0.3,1.9,334.0,-0.86625,1494,1655
1141395333524405,track,450923,True,,,-0.096875,-0.6604166666666667,1.5372707402231478,1.1708609365424159,-2.5244586344975772,-2.1,3.65,4.266666666666667,-0.3,1.9,334.0,-0.9225,1493,1655
1141395353659005,track,450924,True,,,-0.1046875,-0.6604166666666667,1.5316532180422664,1.3648650491441163,-2.5244586344975772,-2.1,3.65,4.266666666666667,-0.3,1.9,334.0,-1.0162499999999999,1492,1655
1141395373535091,track,450924,True,,,-0.1046875,-0.6604166666666667,1.5316532180422664,1.3648650491441163,-2.5244586344975772,-2.1,3.65,4.266666666666667,-0.3,1.9,334.0,-1.0162499999999999,1492,1655
1141395393567661,track,450925,True,,,-0.1109375,-0.6583333333333333,1.537600427794833,1.4909677223352216,-2.5177901135970835,-2.1,3.65,4.1558441558441555,-0.3,1.9,334.0,-1.0912499999999998,1492,1655
1141395413563565,track,450926,True,,,-0.1203125,-0.6520833333333333,1.5620803289340455,0.9691290195178941,-2.4977216726414886,-2.1,3.65,4.1558441558441555,-0.3,1.9,334.0,-1.2037499999999999,1491,1655
1141395433536842,track,450926,True,,,-0.1203125,-0.6520833333333333,1.5620803289340455,0.9691290195178941,-2.4977216726414886,-2.19,3.54,4.1558441558441555,-0.3,1.9,334.0,-1.2037499999999999,1491,1656
1141395453716831,track,450927,True,,,-0.1296875,-0.64375,1.5966095708587107,1.1965123143920993,-2.4708170743576097,-2.19,3.54,4.102564102564102,-0.3,1.9,334.0,-1.3162500000000001,1490,1656
1141395473516513,track,450927,True,,,-0.1296875,-0.64375,1.5966095708587107,1.1965123143920993,-2.4708170743576097,-2.19,3.54,4.102564102564102,-0.3,1.9,334.0,-1.3162500000000001,1490,1656
1141395493534725,track,450928,True,,,-0.140625,-0.6333333333333333,1.639556005464206,1.3266454909883967,-2.436950739508105,-2.19,3.54,4.050632911392405,-0.3,1.9,334.0,-1.4475,1489,1656
1141395513552400,track,450929,True,,,-0.1515625,-0.6270833333333333,1.6599445084486244,1.41123205577599,-2.416505400305007,-2.19,3.54,4.050632911392405,-0.3,1.9,334.0,-1.5787499999999999,1488,1656
