local_time,elapsed_s,sample_source,phase,state,armed,altitude_setpoint_m,altitude_m,vertical_speed_m_s,roll_deg,pitch_deg,yaw_deg,joystick_roll_pwm,joystick_pitch_pwm,joystick_throttle_pwm,joystick_yaw_pwm,output_roll_pwm,output_pitch_pwm,output_throttle_pwm,output_yaw_pwm,altitude_error_m,pitch_target_deg,pitch_error_deg
2026-08-06T16:58:12.685+03:00,2.270329,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.690+03:00,2.275840,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.742+03:00,2.327083,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.757+03:00,2.342574,GLOBAL_POSITION_INT,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.757+03:00,2.342723,ATTITUDE,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.758+03:00,2.342890,RC_CHANNELS,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.788+03:00,2.373610,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.794+03:00,2.378982,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.840+03:00,2.425356,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.886+03:00,2.471347,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.891+03:00,2.476790,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.943+03:00,2.528050,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.989+03:00,2.574101,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:12.994+03:00,2.579483,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.045+03:00,2.630736,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.086+03:00,2.671624,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.092+03:00,2.677039,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.143+03:00,2.728371,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.189+03:00,2.774444,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.194+03:00,2.779826,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.246+03:00,2.831166,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.256+03:00,2.841429,GLOBAL_POSITION_INT,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.256+03:00,2.841515,ATTITUDE,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.256+03:00,2.841616,RC_CHANNELS,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.287+03:00,2.872364,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.292+03:00,2.877715,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.344+03:00,2.929153,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
